Station ,Jan ,Feb ,Mar ,Apr ,May ,June ,July ,Aug ,Sep ,Oct ,Nov ,Dec ,Period,Predicted Period
Hatiya-41963 ,13.4,14.1,19.8,25,24.9,25.3,25.8,26,25.3,23.6,19.1,16.2,21.54166667,21.48
Cox's Bazar-41992 ,14.7,13.9,19.9,25.4,25.4,25.9,26.1,26,25.8,24.2,20,18.9,22.18333333,22.16
Kutubdia-41989 ,16.7,16.5,22.1,25.7,25.8,25.2,25.9,25.8,25.4,25,22.6,17.1,22.81666667,22.91
Teknaf-41998 ,15.7,15.1,20.5,24.4,24.7,24.7,25.9,25.5,25.1,31.5,20.8,18.2,22.675,24.44
Sylhet-41891 ,14.7,16.1,21.3,25.6,25.8,25.4,25.7,25.5,25.8,25.6,20.6,16.6,22.39166667,22.63
Srimangal-41915 ,14.5,14,20.1,22.2,23.3,24.6,25.9,26.3,25.6,23.5,19.6,13.4,21.08333333,21.23
Rajshahi-41895 ,11.8,11.3,17,22.6,23.6,24.8,25.9,25.6,25.3,22.8,17.3,13.6,20.13333333,20.03
Ishurdi-41907 ,12.2,12.6,19.9,25.7,24.3,26.3,27.1,26.7,26.1,23.8,17,13.1,21.23333333,21.33
Bogura-41883 ,12,12.8,19.6,25.6,24.4,26.2,26.8,26.2,25.6,23.3,16.7,15,21.18333333,21.25
Badalgachi-41881 ,12.9,17.6,21.1,24.8,24.4,25.8,27.2,27.2,26.1,24.1,18.4,12.8,21.86666667,21.83
Tarash-41897 ,11.3,13.2,19.6,23.6,23.8,25.5,26.7,26.6,25.9,23,16.2,14.5,20.825,21.05
Rangpur-41859 ,13.3,14.4,20.6,25,24.2,28,27.3,26.8,26.2,23.8,17.7,14.7,21.83333333,21.82
Dinajpur-41863 ,12.4,13.2,20.1,23.1,24,25.1,27.1,26.8,26,23.7,18.4,13.4,21.10833333,21.47
Sayedpur-41858 ,11.4,12.3,19.2,23.3,23.8,24.9,27.3,26.9,26.2,22.8,16.8,13.4,20.69166667,20.9
Tetulia-41850 ,11.6,12.2,19.2,22.5,23.6,25.1,27.2,26.8,26,22.8,17,11.5,20.45833333,20.64
Dimla-41851 ,10,10.1,17.2,22.4,23,24.5,26.2,26.2,25.2,25.2,14.4,13.6,19.83333333,20.69
Rajarhat-41856 ,11.8,12.8,19,22.6,23.6,25,27.2,27,26.1,22.7,16.4,12.8,20.58333333,20.69
Khulna-41947 ,11.3,11.7,18.4,22.2,23.8,24.7,26.8,25.8,24.5,22.4,16.3,15.5,20.28333333,20.67
Mongla-41958 ,14.3,15.4,21.3,26.3,25.8,27.3,27.1,26.9,26.5,24.4,18.9,16.3,22.54166667,22.44
Satkhira-41946 ,14.8,15.9,21.6,26.4,26.1,27,26.8,26.6,26.2,24.6,19.9,14.8,22.55833333,22.38
Jashore-41936 ,14.4,15,21.5,26.6,25.3,27.2,27,26.6,26.5,24.2,18.3,13.3,22.15833333,21.99
Chuadanga-41926 ,12.5,13.8,20.2,25.8,25.3,26.9,26.5,26.3,25.6,22.6,16.3,12.9,21.225,20.86
Kumarkhali-41927 ,12,12.7,19.5,25.3,24.7,26.6,26.8,26.5,26,23.2,16.6,14.4,21.19166667,21.11
Barishal-41950 ,12.9,13.9,20.5,25.5,24.8,26.4,26.6,26.6,26.2,23.5,18.1,14.1,21.59166667,21.5
Patuakhali-41960 ,17.1,13.6,19.7,25.8,25.1,26.5,26.8,26.4,25.9,23.7,18.1,15.6,22.025,21.57
Khepupara-41984 ,14.5,15,20.9,25.7,25.5,26.7,26.8,26.7,26.4,24.6,19.6,15.3,22.30833333,22.23
Bhola-41951 ,14,15.1,20.7,26.3,25.6,26.9,26.5,26.4,25.8,24.4,19.3,14.3,22.10833333,21.9
Dhaka-41923 ,25.1,27.2,33.9,34.2,33.6,33.2,34.1,34.2,33.3,32.7,31,27.4,31.65833333,32.21
Tangail-41909 ,23.8,25.9,33.4,34.2,33.1,33.5,34.1,34.2,33,32.4,30.6,26.5,31.225,31.83
Faridpur-41929 ,24.3,26.7,33.8,34.5,33.4,33.5,34.5,34,33.1,32.2,30.5,27,31.45833333,32.03
Madaripur-41939 ,23.8,26.4,33.2,34.5,34,33.4,33.8,33.5,32.9,31.6,29.6,26.4,31.09166667,31.4
Gopalgonj-41938 ,24.1,26.8,33.3,34.6,33.4,33.1,33.8,33.4,33,31.7,29.5,26.7,31.11666667,31.49
Nikli-41902 ,24.1,25.7,32.9,33,32,31.3,33.4,33.3,32.6,31.6,30.1,26.1,30.50833333,31.22
Mymensingh-41886 ,24.1,25.7,32.9,33,32,31.3,33.4,33.3,32.6,31.6,30.1,26.4,30.53333333,31.25
Netrokona-41888 ,24.2,25.1,32,32.1,31.9,31,33.5,33.7,32.4,32,30.4,26.8,30.425,31.21
Chattogram-41978 ,24.6,25,32.4,31.5,31.2,30.1,33.2,33.7,32.2,31.8,30.6,28.5,30.4,31.43
Sandwip-41964 ,26,27.9,32.4,33.1,33.2,32.1,32.8,33.1,32.6,32.8,31.5,28.9,31.36666667,31.75
Sitakunda-41965 ,26.4,28.4,33.4,32.6,32.6,31.5,33.3,33.3,32.5,33.2,32,29.2,31.53333333,32.33
Rangamati-41966 ,26.8,28.5,33.8,33.1,32.7,31.7,32.7,32.7,33,42.9,32.2,28.2,32.35833333,35.13
Cumilla-41933 ,25.9,25.5,34.5,34.8,32.6,31.8,33.2,33.5,32.9,32.9,31.4,28,31.41666667,32.34
Chandpur-41941 ,25.4,27.1,32.8,32.9,33.1,31.6,33.7,33.5,33,32.8,31.8,27.4,31.25833333,31.88
M Court-41953 ,25.6,27.7,34.1,34.3,33.9,33.1,33.7,33.8,33.1,33,31.3,27.1,31.725,32.25
Feni-41943 ,24.7,26.8,33.2,33.8,33.4,32.3,34,34,32.7,31.9,30.6,28.5,31.325,31.86
Hatiya-41963 ,26,28.5,34,33.6,32.8,31.7,33.4,33.2,32.6,32.8,31.8,27.7,31.50833333,32.2
Cox's Bazar-41992 ,25.2,27.4,33,33.3,33,31.5,33.6,33.7,31.7,32,30.5,29.9,31.23333333,31.92
Kutubdia-41989 ,27.2,28.6,32.7,33.5,32.9,31.2,31.8,31.9,31.9,33,32.3,29,31.33333333,31.74
Teknaf-41998 ,25.8,28.1,31.7,33.1,32.8,32,32.2,31.4,32.3,32.7,31.6,30.3,31.16666667,31.58
Sylhet-41891 ,29,30,33.3,33.6,32.8,31.7,33,32.7,31.5,32.3,31.6,27.3,31.56666667,31.71
Srimangal-41915 ,25.9,26.7,33.5,31.9,31.1,29.7,32,31.8,33.3,32.1,31.4,28,30.61666667,31.56
Rajshahi-41895 ,25.4,26.9,33.2,34,32.4,32,34,34.2,33.6,32.2,31.7,26.8,31.36666667,31.8
Ishurdi-41907 ,23.4,26,34.8,36.2,34.1,35,33.7,33.9,34,33.2,30.4,26.5,31.76666667,32.38
Bogura-41883 ,23.3,25.7,33.9,35.8,33.7,34.4,36.3,34.8,33.7,32.6,30.3,26.7,31.76666667,32.52
Badalgachi-41881 ,23.5,25.5,33.3,33.4,32.9,32.5,35,34.4,32.8,32.7,31,26.4,31.11666667,32.09
Tarash-41897 ,22.8,24.8,32.7,33,32.6,32.4,34.1,33.8,32.6,31.9,30.1,26,30.56666667,31.38
Rangpur-41859 ,23.2,25.3,32.1,33.3,33.1,34,34.1,34.4,33.5,31.7,30.6,26.5,30.98333333,31.26
Dinajpur-41863 ,23.5,24.5,32.2,30.6,32.1,31.9,34.3,33.9,32.8,32,30.1,26.7,30.38333333,31.41
Sayedpur-41858 ,22.2,24.5,32.4,31.7,32.5,32.2,34.8,34,32.8,32.3,30.3,27.3,30.58333333,31.75
Tetulia-41850 ,23.3,25.2,33,31.4,33.2,32.3,34.6,33.6,33.6,33.2,30.6,26.5,30.875,32.07
Dimla-41851 ,23.2,24.1,32.4,30.5,32.1,30.9,35.6,34.7,32.3,31.2,29.8,26.2,30.25,31.42
Rajarhat-41856 ,23,24,31.4,29.7,31.6,30.6,33.8,33.7,32.3,31.4,29.8,26.2,29.79166667,30.81
Khulna-41947 ,23.5,24,32.3,29,31,30.5,33.7,33.6,32.3,31.2,29.2,27.5,29.81666667,31.12
Mongla-41958 ,24.3,27.3,33.7,34.5,34.9,33.7,33.8,33.5,33.3,32.6,30.7,27.6,31.65833333,32.06
Satkhira-41946 ,24.6,27.9,33.9,35,34.5,33.8,33.8,33.6,33.3,32.2,30.2,27,31.65,31.89
Jashore-41936 ,23.8,26.7,32.9,34.4,34.2,34,33.8,33.2,32.9,32,30.1,27.9,31.325,31.66
Chuadanga-41926 ,24.6,27.6,34,35.5,34.8,34.8,32.9,32.8,33.8,32.8,30.9,26.6,31.75833333,31.9
Kumarkhali-41927 ,23.3,26,33.8,35.4,34.3,34.7,34.6,33.9,33.8,32.8,30.1,26.5,31.6,32.15
Barishal-41950 ,23.3,25.9,34.1,34.8,33.3,33.7,34.6,33.9,33.2,32.4,29.9,27.9,31.41666667,32.28
Patuakhali-41960 ,25.3,27.9,33.5,33.9,33.7,33.1,33.8,33.6,32.9,32.4,30.9,27.9,31.575,32
Khepupara-41984 ,25.2,28.1,33.7,34.2,33.8,33,33.2,32.9,32.8,32.3,30.6,28.2,31.5,31.92
Bhola-41951 ,25.7,28.3,33.6,33.7,33.7,32.8,32.8,32.9,32.5,32.4,30.5,28,31.40833333,31.8
